Rank,Player,POS,Team,AVG,Expert,Sleeper,ESPN,Yahoo,Underdog,CBS,FFPC
1,Jahmyr Gibbs,RB1,DET,1.0,1,1,1,1,1,1,1
2,Bijan Robinson,RB2,ATL,2.0,2,2,2,2,2,2,2
3,Ja'Marr Chase,WR1,CIN,3.2,3,3,4,3,3,3,3
4,Puka Nacua,WR2,LAR,3.8,4,4,3,4,4,4,4
5,Christian McCaffrey,RB3,SF,5.7,7,5,6,5,6,7,5
6,Jaxon Smith-Njigba,WR3,SEA,5.7,5,6,5,6,5,6,6
7,Jonathan Taylor,RB4,IND,7.2,10,7,7,7,8,5,9
8,Amon-Ra St. Brown,WR4,DET,7.8,7,8,8,8,7,8,8
9,CeeDee Lamb,WR5,DAL,10.3,10,9,9,9,9,13,13
10,James Cook,RB5,BUF,11.2,12,12,12,10,12,10,11
11,Justin Jefferson,WR6,MIN,11.5,9,10,11,11,10,15,12
12,Ashton Jeanty,RB6,LV,12.3,12,14,15,13,11,11,10
13,Devon Achane,RB7,MIA,14.0,14,11,10,18,18,9,18
14,Saquon Barkley,RB8,PHI,15.0,16,15,19,12,13,14,17
15,Omarion Hampton,RB9,LAC,16.5,13,17,18,17,14,18,15
16,Chase Brown,RB10,CIN,16.5,14,18,21,16,16,12,16
17,Drake London,WR7,ATL,16.8,19,13,14,15,21,17,21
18,Kenneth Walker,RB11,KC,19.2,17,23,22,14,15,22,19
19,Brock Bowers,TE1,LV,19.7,20,21,24,21,20,25,7
20,Derrick Henry,RB12,BAL,20.2,21,25,20,20,17,16,23
21,Trey McBride,TE2,ARI,21.5,28,16,17,26,28,28,14
22,A.J. Brown,WR8,NE,21.8,21,19,27,23,19,23,20
23,Rashee Rice,WR9,KC,22.8,24,22,16,29,24,21,25
24,Jeremiyah Love,RB13,ARI,23.2,24,20,13,25,25,30,26
25,Nico Collins,WR10,HOU,23.3,23,26,25,19,22,24,24
26,George Pickens,WR11,DAL,24.2,26,24,29,22,23,20,27
27,Chris Olave,WR12,NO,28.8,31,27,28,30,30,29,29
28,Breece Hall,RB14,NYJ,30.5,29,32,30,33,29,31,28
29,Josh Allen,QB1,BUF,30.7,35,30,36,27,36,19,36
30,Josh Jacobs,RB15,GB,31.5,36,29,23,34,42,26,35
31,Kyren Williams,RB16,LAR,32.0,32,31,37,32,32,27,33
32,Malik Nabers,WR13,NYG,32.5,23,28,32,35,26,34,40
33,DeVonta Smith,WR14,PHI,32.7,30,44,35,24,27,36,30
34,Javonte Williams,RB17,DAL,35.2,32,38,31,36,37,32,37
35,Zay Flowers,WR15,BAL,35.3,35,43,34,31,31,39,34
36,Tee Higgins,WR16,CIN,37.0,34,34,46,28,34,37,43
37,Garrett Wilson,WR17,NYJ,38.2,42,39,26,40,40,46,38
38,Emeka Egbuka,WR18,TB,38.2,37,45,42,42,33,35,32
39,Tetairoa McMillan,WR19,CAR,39.0,42,36,33,39,38,44,44
40,Travis Etienne,RB18,NO,39.2,45,35,38,44,39,40,39
41,Colston Loveland,TE3,CHI,39.7,41,41,49,38,47,41,22
42,Ladd McConkey,WR20,LAC,41.8,39,42,44,41,35,48,41
43,Cam Skattebo,RB19,NYG,42.0,42,49,39,45,44,33,42
44,Jaylen Waddle,WR21,DEN,44.7,37,46,47,37,41,52,45
45,Luther Burden,WR22,CHI,46.8,46,40,53,46,45,51,46
46,Terry McLaurin,WR23,WAS,47.0,46,55,45,43,43,49,47
47,Bucky Irving,RB20,TB,48.0,51,33,41,60,56,42,56
48,Quinshon Judkins,RB21,CLE,48.7,53,53,40,51,54,45,49
49,Lamar Jackson,QB2,BAL,50.2,55,37,56,48,55,38,67
50,Davante Adams,WR24,LAR,50.3,48,47,43,49,50,56,57
51,Tyler Warren,TE4,IND,50.5,62,50,50,55,64,53,31
52,D'Andre Swift,RB22,CHI,52.3,51,64,61,47,49,43,50
53,David Montgomery,RB23,HOU,53.2,52,54,62,50,48,57,48
54,Jameson Williams,WR25,DET,54.0,52,52,48,54,52,58,60
55,TreVeyon Henderson,RB24,NE,55.2,50,48,59,63,53,55,53
56,Bhayshul Tuten,RB25,JAX,55.7,49,59,60,58,51,54,52
57,DJ Moore,WR26,BUF,56.0,63,58,54,57,57,59,51
58,Mike Evans,WR27,SF,58.7,52,57,76,56,46,62,55
59,Rome Odunze,WR28,CHI,58.7,60,63,52,52,60,63,62
60,Drake Maye,QB3,NE,59.0,65,51,57,59,66,47,74
61,Christian Watson,WR29,GB,62.5,63,67,78,53,58,65,54
62,Carnell Tate,WR30,TEN,64.5,57,62,51,71,59,79,65
63,Joe Burrow,QB4,CIN,64.8,67,56,74,61,68,50,80
64,Jadarian Price,RB26,SEA,65.7,55,80,63,65,62,61,63
65,Jayden Daniels,QB5,WAS,66.0,66,60,55,62,67,60,92
66,Marvin Harrison,WR31,ARI,70.3,65,75,68,72,69,70,68
67,Jalen Hurts,QB6,PHI,71.3,73,65,58,64,70,68,103
