Rank,Player,POS,Team,AVG,Expert,Sleeper,ESPN,Yahoo,Underdog,CBS,FFPC
1,Jahmyr Gibbs,RB1,DET,1.2,1,2,1,1,1,1,1
2,Bijan Robinson,RB2,ATL,1.8,2,1,2,2,2,2,2
3,Ja'Marr Chase,WR1,CIN,4.5,3,6,4,3,3,8,3
4,Puka Nacua,WR2,LAR,5.0,4,9,3,4,4,6,4
5,Christian McCaffrey,RB3,SF,5.2,7,4,6,5,6,5,5
6,Jonathan Taylor,RB4,IND,6.2,10,3,7,7,8,3,9
7,Jaxon Smith-Njigba,WR3,SEA,7.0,5,10,5,6,5,10,6
8,James Cook,RB5,BUF,9.5,12,5,12,10,12,7,11
9,Amon-Ra St. Brown,WR4,DET,10.8,7,18,8,8,7,16,8
10,Ashton Jeanty,RB6,LV,12.5,12,11,19,13,11,11,10
11,CeeDee Lamb,WR5,DAL,12.8,10,15,9,9,9,22,13
12,Derrick Henry,RB7,BAL,13.5,21,7,10,20,17,4,23
13,Saquon Barkley,RB8,PHI,13.8,16,14,15,12,13,12,17
14,Devon Achane,RB9,MIA,14.0,14,8,13,18,18,9,18
15,Omarion Hampton,RB10,LAC,15.8,13,12,20,17,14,17,15
16,Justin Jefferson,WR6,MIN,15.8,9,20,11,11,10,31,12
17,Chase Brown,RB11,CIN,17.2,14,19,23,16,16,13,16
18,Drake London,WR7,ATL,18.5,19,21,14,15,21,19,21
19,Kenneth Walker,RB12,KC,19.3,17,24,21,14,15,23,19
20,Jeremiyah Love,RB13,ARI,22.8,24,17,18,25,25,26,26
21,Trey McBride,TE1,ARI,23.8,28,23,17,26,28,35,14
22,Nico Collins,WR8,HOU,24.2,23,26,25,19,22,29,24
23,Brock Bowers,TE2,LV,24.2,20,30,24,21,20,43,7
24,A.J. Brown,WR9,NE,24.8,21,34,26,23,19,27,20
25,Rashee Rice,WR10,KC,24.8,24,35,16,29,24,20,25
26,George Pickens,WR11,DAL,25.2,26,28,27,22,23,24,27
27,Kyren Williams,RB14,LAR,27.0,32,13,37,32,32,15,33
28,Josh Allen,QB1,BUF,27.5,35,16,36,27,36,14,36
29,Josh Jacobs,RB15,GB,28.8,36,22,22,34,42,18,35
30,Breece Hall,RB16,NYJ,29.2,29,27,30,33,29,28,28
31,Chris Olave,WR12,NO,30.3,31,31,29,30,30,33,29
32,Javonte Williams,RB17,DAL,33.0,32,32,31,36,37,25,37
33,Malik Nabers,WR13,NYG,33.7,23,36,28,35,26,37,40
34,Travis Etienne,RB18,NO,38.0,45,29,38,44,39,39,39
35,Tee Higgins,WR14,CIN,38.2,34,37,46,28,34,41,43
36,Zay Flowers,WR15,BAL,38.2,35,53,35,31,31,45,34
37,DeVonta Smith,WR16,PHI,38.3,30,56,43,24,27,50,30
38,Cam Skattebo,RB19,NYG,39.2,42,43,40,45,44,21,42
39,Emeka Egbuka,WR17,TB,41.0,37,57,33,42,33,49,32
40,Garrett Wilson,WR18,NYJ,42.5,42,40,32,40,40,65,38
41,Tetairoa McMillan,WR19,CAR,43.2,42,39,42,39,38,57,44
42,Colston Loveland,TE3,CHI,43.5,41,51,49,38,47,54,22
43,Bucky Irving,RB20,TB,46.0,51,33,41,60,56,30,56
44,Quinshon Judkins,RB21,CLE,46.2,53,46,39,51,54,38,49
45,Ladd McConkey,WR20,LAC,47.7,39,48,45,41,35,76,41
46,Lamar Jackson,QB2,BAL,47.8,55,25,56,48,55,36,67
47,Jaylen Waddle,WR21,DEN,48.0,37,44,51,37,41,70,45
48,D'Andre Swift,RB22,CHI,48.0,51,49,61,47,49,32,50
49,Terry McLaurin,WR22,WAS,48.3,46,58,47,43,43,52,47
50,Davante Adams,WR23,LAR,49.8,48,47,34,49,50,62,57
51,David Montgomery,RB23,HOU,51.0,52,50,62,50,48,48,48
52,Bhayshul Tuten,RB24,JAX,51.2,49,45,59,58,51,42,52
53,Luther Burden,WR24,CHI,51.5,46,41,54,46,45,77,46
54,Jameson Williams,WR25,DET,52.7,52,55,44,54,52,51,60
55,TreVeyon Henderson,RB25,NE,53.8,50,38,60,63,53,56,53
56,Tyler Warren,TE4,IND,54.7,62,59,50,55,64,69,31
57,Drake Maye,QB3,NE,58.7,65,52,57,59,66,44,74
58,Rome Odunze,WR26,CHI,59.0,60,72,48,52,60,60,62
59,Mike Evans,WR27,SF,60.3,52,62,68,56,46,75,55
60,DJ Moore,WR28,BUF,60.7,63,61,52,57,57,86,51
61,Joe Burrow,QB4,CIN,64.3,67,63,74,61,68,40,80
62,Christian Watson,WR29,GB,65.3,63,68,70,53,58,89,54
63,Jayden Daniels,QB5,WAS,65.5,66,70,55,62,67,47,92
64,Jadarian Price,RB26,SEA,68.3,55,111,63,65,62,46,63
65,Tony Pollard,RB27,TEN,70.0,80,67,64,76,74,66,73
66,Jalen Hurts,QB6,PHI,70.7,73,74,58,64,70,55,103
67,Carnell Tate,WR30,TEN,71.7,57,64,53,71,59,118,65
68,Jaylen Warren,RB28,PIT,71.8,70,54,98,73,72,68,66
69,Marvin Harrison,WR31,ARI,74.0,65,88,67,72,69,80,68
70,Rhamondre Stevenson,RB29,NE,75.7,83,60,97,69,77,74,77
71,Alec Pierce,WR32,IND,76.0,82,95,66,78,80,59,78
72,Brian Thomas,WR33,JAX,77.5,59,84,79,70,61,102,69
73,Parker Washington,WR34,JAX,77.8,79,90,77,67,65,98,70
74,Tucker Kraft,TE5,GB,78.3,76,76,103,75,79,78,59
75,Chuba Hubbard,RB30,CAR,78.7,85,71,100,74,81,61,85
76,Harold Fannin,TE6,CLE,79.3,100,66,72,82,102,93,61
77,Rico Dowdle,RB31,PIT,79.3,94,69,96,87,87,53,84
78,DK Metcalf,WR35,PIT,79.5,86,79,69,81,76,91,81
79,Sam LaPorta,TE7,DET,79.7,85,85,73,77,92,87,64
80,Kyle Pitts,TE8,ATL,80.0,91,78,71,85,103,85,58
81,Courtland Sutton,WR36,DEN,81.0,88,77,65,89,83,83,89
82,RJ Harvey,RB32,DEN,83.0,93,42,122,100,86,58,90
83,Dak Prescott,QB7,DAL,84.0,94,107,83,86,78,34,116
84,Jordyn Tyson,WR37,NO,84.3,67,75,76,80,63,141,71
85,Justin Herbert,QB8,LAC,85.3,89,94,94,66,82,71,105
86,Caleb Williams,QB9,CHI,85.8,73,98,87,68,71,84,107
87,Trevor Lawrence,QB10,JAX,89.7,85,102,82,79,85,81,109
88,J.K. Dobbins,RB33,DEN,90.0,90,80,99,95,97,72,97
89,Kyle Monangai,RB34,CHI,92.2,100,65,109,90,96,94,99
90,Quentin Johnston,WR38,LAC,93.3,83,124,93,83,75,99,86
91,Makai Lemon,WR39,PHI,93.5,72,82,81,91,73,140,94
92,Jaxson Dart,QB11,NYG,93.7,98,91,75,93,101,73,129
93,Brock Purdy,QB12,SF,94.7,101,118,85,84,98,63,120
94,Blake Corum,RB35,LAR,96.7,100,73,121,94,91,108,93
95,Michael Wilson,WR40,ARI,97.5,91,81,88,104,95,116,101
96,George Kittle,TE9,SF,98.7,106,109,102,96,115,95,75
97,Chris Godwin,WR41,TB,99.3,87,96,128,88,90,115,79
98,Jordan Addison,WR42,MIN,99.3,85,108,90,92,88,107,111
99,Kenneth Gainwell,RB36,TB,100.0,111,93,101,108,107,104,87
100,Patrick Mahomes,QB13,KC,101.0,107,112,95,109,94,64,132
101,Jakobi Meyers,WR43,JAX,101.8,111,83,89,111,105,109,114
102,Michael Pittman,WR44,PIT,101.8,86,119,78,105,100,126,83
103,Dallas Goedert,TE10,PHI,103.0,146,101,104,117,134,67,95
104,Jonathon Brooks,RB37,CAR,106.7,88,169,106,99,93,101,72
105,Dalton Kincaid,TE11,BUF,108.0,134,87,117,110,126,117,91
106,Travis Kelce,TE12,KC,108.0,117,117,110,113,120,106,82
107,Jacory Croskey-Merritt,RB38,WAS,108.8,114,103,116,115,119,88,112
108,Matthew Stafford,QB14,LAR,109.2,112,133,86,114,104,79,139
109,Aaron Jones,RB39,MIN,109.8,113,92,107,124,121,105,110
110,Rachaad White,RB40,WAS,110.2,92,142,108,103,108,112,88
111,Mark Andrews,TE13,BAL,112.7,133,104,105,121,124,124,98
112,Jordan Mason,RB41,MIN,112.8,101,125,138,107,111,90,106
113,Isaiah Likely,TE14,NYG,113.0,132,127,118,118,128,111,76
114,Josh Downs,WR45,IND,114.3,93,156,125,98,89,122,96
115,Bo Nix,QB15,DEN,114.5,105,138,84,102,106,114,143
116,Wan'Dale Robinson,WR46,TEN,115.5,98,116,113,126,113,125,100
117,Matthew Golden,WR47,GB,116.3,116,196,80,116,109,82,115
118,Jayden Reed,WR48,GB,117.7,104,135,114,101,84,168,104
119,Xavier Worthy,WR49,KC,119.0,107,139,92,112,99,159,113
120,Jake Ferguson,TE15,DAL,121.0,127,105,111,135,131,142,102
